,words,syllable,words1,words2,words3,words4,words5,words6,primarystress,secondarystress,wordpronouncation,category,toughnesslevel,projectweightage,sentimentalcategory,maxpitch,avgpitch,ros,phase
1,A,1,A,N/A,N/A,N/A,N/A,N/A,A,N/A,A,alphabet,1,10,N/A,3661.2368,5.2662058,N/A,TRAINING
2,abandon,3,a,ban,don,N/A,N/A,N/A,don,a-ban,uh-ban-dun,normal,5,6,N/A,3991.256,5.209585,N/A,EXAM
3,ability,4,a,bil,i,ty,N/A,N/A,bil,N/A,uh-bil-i-tee,place,3,6,N/A,3921.6907,5.381685,N/A,SCREENING
4,able,2,a,ble,N/A,N/A,N/A,N/A,a,N/A,ay-bul,name,2,7,N/A,2795.885,1.6587567,N/A,SCREENING
5,abortion,3,a,bor,tion,N/A,N/A,N/A,bor,N/A,uh-bawr-shun,month,6,5,N/A,3993.3079,16.031296,N/A,EXAM
6,about,2,a,bout,N/A,N/A,N/A,N/A,bout,N/A,uh-bout,Number,2,9,N/A,3986.8284,15.832221,N/A,TRAINING
7,above,2,a,bove,N/A,N/A,N/A,N/A,bove,N/A,uh-buhv,alphabet,2,9,N/A,3971.5095,15.083354,N/A,EXAM
8,abroad,2,a,broad,N/A,N/A,N/A,N/A,broad,N/A,uh-brawd,normal,5,8,N/A,3957.3052,13.608179,N/A,SCREENING
9,absence,2,ab,sence,N/A,N/A,N/A,N/A,ab,N/A,ab-sens,place,2,9,N/A,3985.821,14.50328,N/A,EXAM
10,absolute,3,ab,so,lute,N/A,N/A,N/A,ab,N/A,N/A,name,1,9,N/A,3998.745,16.518896,N/A,EXAM
11,absolutely,4,ab,so,lute,ly,N/A,N/A,ab,N/A,N/A,month,5,9,N/A,3964.6902,12.803218,N/A,TRAINING
12,absorb,2,ab,sorb,N/A,N/A,N/A,N/A,sorb,N/A,N/A,Number,3,7,N/A,3988.9927,9.038929,N/A,EXAM
13,abuse,2,a,buse,N/A,N/A,N/A,N/A,buse,N/A,N/A,alphabet,3,9,N/A,3988.4985,2.966977,N/A,SCREENING
14,academic,4,ac,a,dem,ic,N/A,N/A,dem,ac,ak-uh-dem-ik,normal,3,8,N/A,3990.2368,9.867674,N/A,TRAINING
15,accept,2,ac,cept,N/A,N/A,N/A,N/A,cept,N/A,ak-sept,place,4,9,N/A,3995.1387,18.377544,N/A,EXAM
16,access,2,ac,cess,N/A,N/A,N/A,N/A,cess,N/A,ak-ses,name,3,7,N/A,3993.8582,17.70108,N/A,EXAM
17,accident,3,ac,ci,dent,N/A,N/A,N/A,ac,N/A,ak-si-dunt,month,3,9,N/A,3994.3557,25.94293,N/A,EXAM
18,accompany,4,ac,com,pa,ny,N/A,N/A,com,N/A,uh-kuhm-puh-nee,Number,3,8,N/A,3995.1387,10.127754,N/A,TRAINING
19,accomplish,3,ac,com,plish,N/A,N/A,N/A,com,N/A,uh-kom-plish,alphabet,4,6,N/A,3995.1387,29.76393,N/A,SCREENING
20,according,3,ac,cord,ing,N/A,N/A,N/A,cord,N/A,uh-kawr-ding,normal,3,9,N/A,3995.1387,10.99699,N/A,EXAM
21,account,2,ac,count,N/A,N/A,N/A,N/A,count,N/A,uh-kount,place,3,9,N/A,3995.1387,22.598764,N/A,SCREENING
22,accurate,3,ac,cu,rate,N/A,N/A,N/A,ac,N/A,N/A,name,3,7,N/A,3984.3152,22.650555,N/A,EXAM
23,accuse,2,ac,cuse,N/A,N/A,N/A,N/A,cuse,N/A,uh-kyooz,month,3,7,N/A,3999.1638,23.889044,N/A,TRAINING
24,achieve,2,a,chieve,N/A,N/A,N/A,N/A,chieve,N/A,uh-cheev,Number,2,6,N/A,3998.2666,26.843874,N/A,EXAM
